entry_date,symbol,symbol_name,signal_perc
2019-08-04,LSCC,Lattice Semicond,100
2019-08-02,ODT,Odonate Therapeutics Inc,100
2019-08-01,ZIOP,Ziopharm Oncology IN,100
2019-07-31,NVCR,Novocure Ltd Ord Sh,100
2019-07-29,NRC,National Research Corp,100
2019-07-26,WP,Worldpay Inc,100
2019-07-25,REKR,Rekor Systems Inc,100
2019-07-24,MELI,Mercadolibre Inc,100
2019-07-23,BRO,Brown & Brown,100
2019-07-22,ENLV,Enlivex Therapeutics Ltd,100
2019-07-19,KTOS,Kratos Defns,100
2019-07-18,RGLD,Royal Gold Inc,100
2019-07-17,PAGS,Pagseguro Digital Ltd Cl A,100
2019-07-16,PLAN,Anaplan Inc,96
2019-07-15,SMAR,Smartsheet Inc Cl A,96
2019-07-12,PRO,Pros Holdings,100
2019-07-11,RPD,Rapid7 Inc,96
2019-07-10,CDZI,Cadiz Inc,96
2019-07-08,ZYME,Zymeworks Inc,100
2019-07-05,EIDX,Eidos Therapeutics Inc,96
2019-07-03,SMPL,The Simply Good Foods Company,100
2019-07-02,COUP,Coupa Software Inc,96
2019-07-01,PAYS,Paysign Inc,100
2019-06-28,DECK,Deckers Outdoor Corp,72
2019-06-27,GSHD,Goosehead Insurance Inc Cl A,100
2019-06-26,INFO,IHS Markit Ltd,100
2019-06-25,HALL,Hallmark Fin Svc,96
2019-06-24,HYGS,Hydrogenics Corp,100
2019-06-21,FRPT,Freshpet Inc CS,100
2019-06-20,SHOP,Shopify Inc,100
2019-06-19,OUT,Outfront Media Inc,96
2019-06-18,ZYXI,Zynex Inc,100
2019-06-17,CINF,Cincinnati Financial,96
2019-06-10,OESX,Orion Energy Syst,96
2019-06-07,NSSC,Napco Sec Tech Inc,100
2019-06-06,CCI,Crown Castle International Corp,100
2019-06-05,FTS,Fortis Inc,100
2019-06-04,IDN,Intellicheck Mobilisia,100
2019-06-03,HSY,Hershey Foods Corp,96
2019-05-31,OKTA,Okta Inc Cl A,100
2019-05-30,BAH,Booz Allen Hamilton Holding Corp,80
2019-05-28,SLP,Simulations Plus Inc,100
2019-05-28,INXN,Interxion Holding N.V.,100
2019-05-24,ROKU,Roku Inc,96
2019-05-23,CUBE,Cubesmart,96
2019-05-22,PAYC,Paycom Software Inc,96
2019-05-21,BAND,Bandwidth Inc,96
2019-05-20,MAA,Mid-America Apartment Communities,96
2019-05-15,WIX,Wix.com Ltd,96
2019-05-15,CCEP,Coca Cola European Partners,96
2019-05-13,FBM,Foundation Building Materials Inc,96
2019-05-12,JYNT,The Joint Corp,100
2019-05-10,GSB,Globalscape,88
2019-05-09,COKE,Coca Cola Bot Cons,100
2019-05-08,TSN,Tyson Foods,96
2019-05-07,AIG,American International Group,100
2019-05-06,CODA,Coda Octopus Group,100
2019-05-03,TTD,Trade Desk Inc,100
2019-05-02,ENPH,Enphase Energy Inc,100
2019-05-01,LBRDK,Liberty Broadbd C,100
2019-04-30,AYX,Alteryx Inc,100
2019-04-29,AXSM,Axsome Thera,100
2019-04-25,MSFT,Microsoft Corp,100
2019-04-25,CMCSA,Comcast Corp A,96
2019-04-24,CREE,Cree Inc,96
2019-04-23,FSS,Federal Signal Corp,100
2019-04-22,PEGA,Pegasystems Inc,100
2019-04-18,WRB,W.R. Berkley Corp,96
2019-04-17,KMX,Carmax Inc,96
2019-04-16,GLDD,Great Lakes Drg Dock,88
2019-04-16,AWI,Armstrong World Industries Inc,96
2019-04-12,FDS,Factset Research Systems Inc,96
2019-04-11,MKC,Mccormick & Company Inc,80
2019-04-10,RIO,Rio Tinto Plc,96
2019-04-09,MSCI,MSCI Inc,96
2019-04-08,LII,Lennox International,96
2019-04-05,MLND,Millendo Therapeutics Inc,96
2019-04-04,MYT,Urban Tea Inc,72
2019-04-03,SHSP,Sharpspring Inc,100
2019-04-02,ORLY,O'Reilly Automotive,96
2019-04-01,DYAI,Dyadic International,100
2019-03-29,CMG,Chipotle Mexican Grill,96
2019-03-28,TRI,Thomson Reuters Corp,100
2019-03-27,INFU,Infusystems Holdings,100
2019-03-25,AEE,Ameren Corp,100
2019-03-11,CDNS,Cadence Design Sys,88
2019-03-08,LIND,Lindblad Expd Hld,88
2019-03-07,BABA,Alibaba Group Holding,80
2019-03-06,EEFT,Euronet Worldwide,96
2019-03-05,OSIR,Osiris Therapeutics,96
2019-03-04,VISI,Volt Information Services Inc,96
2019-03-01,CYBR,Cyberark Soft Ord,96
2019-02-28,NSTG,Nanostring Tech,100
2019-02-27,NEO,Neogenomics Inc,88
2019-02-26,UBNT,Ubiquiti Networks,96
2019-02-25,VCYT,Veracyte Inc,100
2019-02-22,BHR,Braemar Hotels & Resorts Inc,88
2019-02-21,WK,Workiva Llc,100
2019-02-20,TWLO,Twilio,96
2019-02-19,SCX,L.S. Starrett Company,100
2019-02-15,IVV,S&P 500 Ishares Core ETF,80
2019-02-14,ALEX,Alexander and Baldwin Inc,100
2019-02-13,APPS,Digital Turbine,100
2019-02-12,GHDX,Genomic Health Inc,100
2019-02-11,CRMD,Cormedix Inc,100
2019-02-08,RUN,Sunrun Inc,100
2019-02-07,IEC,IEC Electronics,100
2019-02-06,KL,Kirkland Lake Gold Ltd,96
2019-02-05,WCN,Waste Connections Inc,96
2019-02-04,AES,The Aes Corp,100
2019-02-01,ADC,Agree Realty Corp,96
2019-01-31,AMT,American Tower Corp,100
2019-01-30,NYCB,New York Community Bancorp,88
2019-01-29,EPRT,Essential Properties Realty Trust Inc,96
2019-01-28,GLPI,Gaming & Leisure,80
2019-01-25,ARCO,Arcos Dorados Holdings Inc,100
2019-01-24,LFVN,Lifevantage Cp,100
2019-01-23,CENTA,Central Garden & Pet,80
2019-01-22,LOCO,El Pollo Loco,100
2019-01-18,AT,Atlantic Power Corp,96
2019-01-17,ADIL,Adial Pharmaceuticals Inc,96
2019-01-16,DXR,Daxor Corp,96
2019-01-15,INSG,Inseego Corp,96
2019-01-14,WAAS,Aquaventure Holdings Ltd,96
2019-01-11,MEET,The Meet Group,80
2019-01-10,CPL,Cpfl Energia S.A.,96
