entry_date,symbol,symbol_name,signal_perc,url
2019-09-06,PDD,Pinduoduo Inc ADR,88,https://www.barchart.com/story/news/chart-of-the-day/3616047/barchartcoms-chart-of-the-day-pindoudou
2019-09-04,EQIX,Equinix Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3601968/barchartcoms-chart-of-the-day-equinix
2019-09-03,DENN,Dennys Corp,100,https://www.barchart.com/story/news/chart-of-the-day/3591438/barchartcoms-chart-of-the-day-dennys
2019-08-30,ETR,Entergy Corp,100,https://www.barchart.com/story/news/chart-of-the-day/3583302/barchartcoms-chart-of-the-day-entergy
2019-08-28,AWR,American States Water Company,100,https://www.barchart.com/story/news/chart-of-the-day/3569264/barchartcoms-chart-of-the-day-american-states-water
2019-08-27,RADA,Rada Electr Inds Ltd,100,https://www.barchart.com/story/news/chart-of-the-day/3563402/barchartcoms-chart-of-the-day-rada-electronic-industries
2019-08-26,FLGT,Fulgent Genetics Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3556730/barchartcoms-chart-of-the-day-fulgent-genetics
2019-08-23,WEC,Wisconsin Energy Corp,100,https://www.barchart.com/story/news/chart-of-the-day/3545369/barchartcoms-chart-of-the-day-wec-energy
2019-08-22,CYTK,Cytokinetics,100,https://www.barchart.com/story/news/chart-of-the-day/3543330/barchartcoms-chart-of-the-day-cytokinetics
2019-08-21,SUI,Sun Communities,100,https://www.barchart.com/story/news/chart-of-the-day/3535182/barchartcoms-chart-of-the-day-sun-communities
2019-08-20,ELS,Equity Lifestyle Properties,100,https://www.barchart.com/story/news/chart-of-the-day/3530044/barchartcoms-chart-of-the-day-equity-lifestyle-properties
2019-08-19,EXR,Extra Space Storage Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3522377/barchartcoms-chart-of-the-day-extra-space-storage
2019-08-16,SHAK,Shake Shack Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3513693/barchartcoms-chart-of-the-day-shake-shack
2019-08-15,SNDX,Syndax Pharma,100,https://www.barchart.com/story/news/chart-of-the-day/3510126/barchartcoms-chart-of-the-day-syndex-pharmaceuticals
2019-08-14,IOTS,Adesto Tech,100,https://www.barchart.com/story/news/chart-of-the-day/3501064/barchartcoms-chart-of-the-day-adesto-technologies
2019-08-13,ATLC,Atlanticus Hldg Cp,100,https://www.barchart.com/story/news/chart-of-the-day/3494048/barchartcoms-chart-of-the-day-atlanticus-holdings
2019-08-12,NG,Novagold Resources Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3486949/barchartcoms-chart-of-the-day-novagold
2019-08-11,CDLX,Cardlytics Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3484518/barchartcoms-chart-of-the-day-cardlytics
2019-08-08,AVP,Avon Products,100,https://www.barchart.com/story/news/chart-of-the-day/3477423/barchartcoms-chart-of-the-day-avon-products
2019-08-08,AUY,Yamana Gold,96,https://www.barchart.com/story/news/chart-of-the-day/3472873/barchartcoms-chart-of-the-day-yamana-gold
