date,type,ticker,rating_osc,rating_ma
2019-09-22,crypto,IOTAUSD,Buy,Buy
2019-09-22,crypto,BTCUSD,Neutral,Srong Sell
2019-09-22,crypto,EOSUSD,Buy,Sell
2019-09-22,crypto,LTCUSD,Buy,Sell
2019-09-22,crypto,BNBUSD,Buy,Srong Sell
2019-09-22,crypto,XRPUSD,Buy,Sell
2019-09-22,crypto,DASHUSD,Buy,Neutral
2019-09-22,crypto,ETHUSD,Buy,Srong Buy
2019-09-23,index,TSX,Neutral,Srong Buy
2019-09-23,index,DJI,Buy,Buy
2019-09-23,index,SPX,Neutral,Srong Buy
2019-09-23,index,DAX,Buy,Srong Buy
2019-09-23,index,NIFTY,Buy,Srong Buy
2019-09-23,index,NI225,Buy,Srong Buy
2019-09-23,index,VIX,Sell,Sell
2019-09-23,index,IXIC,Buy,Buy
2019-09-23,crypto,LTCUSD,Buy,Sell
2019-09-23,crypto,IOTAUSD,Buy,Buy
2019-09-23,crypto,BNBUSD,Buy,Srong Sell
2019-09-23,crypto,EOSUSD,Neutral,Srong Sell
2019-09-23,crypto,BTCUSD,Neutral,Srong Sell
2019-09-23,crypto,XRPUSD,Buy,Sell
2019-09-23,crypto,ETHUSD,Buy,Srong Buy
2019-09-23,crypto,DASHUSD,Buy,Sell
2019-09-23,stock,AAPL,Buy,Srong Buy
2019-09-23,stock,FB,Buy,Srong Buy
2019-09-23,stock,JPM,Buy,Srong Buy
2019-09-23,stock,GOOG,Neutral,Srong Buy
2019-09-23,stock,JNJ,Buy,Buy
2019-09-23,stock,AMZN,Buy,Srong Sell
2019-09-23,stock,BABA,Neutral,Srong Buy
2019-09-23,stock,MSFT,Buy,Srong Buy
2019-09-24,crypto,XRPUSD,Buy,Srong Sell
2019-09-24,crypto,DASHUSD,Buy,Srong Sell
2019-09-24,crypto,BNBUSD,Buy,Srong Sell
2019-09-24,crypto,EOSUSD,Sell,Srong Sell
2019-09-24,crypto,LTCUSD,Buy,Srong Sell
2019-09-24,crypto,ETHUSD,Buy,Sell
2019-09-24,crypto,BTCUSD,Sell,Srong Sell
2019-09-24,crypto,IOTAUSD,Buy,Buy
2019-09-24,stock,BABA,Buy,Srong Buy
2019-09-24,stock,AMZN,Neutral,Srong Sell
2019-09-24,stock,JNJ,Neutral,Buy
2019-09-24,stock,GOOG,Neutral,Srong Buy
2019-09-24,stock,JPM,Neutral,Srong Buy
2019-09-24,stock,FB,Buy,Sell
2019-09-24,stock,AAPL,Buy,Srong Buy
2019-09-24,stock,MSFT,Buy,Srong Buy
2019-09-24,index,TSX,Sell,Srong Buy
2019-09-24,index,DJI,Buy,Buy
2019-09-24,index,IXIC,Neutral,Buy
2019-09-24,index,SPX,Buy,Srong Buy
2019-09-24,index,NIFTY,Buy,Srong Buy
2019-09-24,index,NI225,Buy,Srong Buy
2019-09-24,index,DAX,Buy,Srong Buy
2019-09-24,index,VIX,Neutral,Srong Sell
2019-09-25,stock,BABA,Sell,Sell
2019-09-25,stock,GOOG,Buy,Srong Buy
2019-09-25,stock,AAPL,Neutral,Srong Buy
2019-09-25,stock,JPM,Buy,Srong Buy
2019-09-25,stock,JNJ,Buy,Buy
2019-09-25,stock,MSFT,Buy,Sell
2019-09-25,stock,FB,Sell,Srong Sell
2019-09-25,stock,AMZN,Sell,Srong Sell
2019-09-25,crypto,XRPUSD,Sell,Srong Sell
2019-09-25,crypto,ETHUSD,Sell,Srong Sell
